Position ,FISH ID,BC1,rBC1,BC2,rBC2,BC3,rBC3,BC4,rBC4,BC5,rBC5,BC6,rBC6,Nuclear CFP,Movie ID,xBC1,xBC2,xBC3,xBC4,xBC5,xBC6,BC1,BC2,BC3,BC4,BC5,BC6,Summary,Manual,Match,Key,
20,1,0,0,0,0,0,0,0,0,0,0,0,0,5.44E+06,,1,1,1,1,1,1,x,x,x,x,x,x,xxxxxx,,,001,x
20,2,0,1,0,1,1,0,0,0,0,1,0,0,4.86E+07,8,0,0,0,1,0,1,r,r,u,x,r,x,rruxrx,,,010,r
20,3,0,1,0,1,1,0,0,0,0,1,0,0,4.86E+07,7,0,0,0,1,0,1,r,r,u,x,r,x,rruxrx,,,100,u
20,4,0,1,0,1,1,0,1,0,0,0,0,0,3.03E+07,12,0,0,0,0,1,1,r,r,u,u,x,x,rruuxx,,,,
20,5,0,1,0,1,1,0,1,0,0,0,0,0,3.66E+07,10,0,0,0,0,1,1,r,r,u,u,x,x,rruuxx,,,,
20,6,0,1,0,1,1,0,1,0,0,0,0,0,3.35E+07,9,0,0,0,0,1,1,r,r,u,u,x,x,rruuxx,,,,
20,7,0,1,0,1,1,0,1,0,0,0,0,0,3.41E+07,11,0,0,0,0,1,1,r,r,u,u,x,x,rruuxx,,,,
20,8,0,1,0,1,1,0,0,0,0,0,0,0,4.19E+07,6,0,0,0,1,1,1,r,r,u,x,x,x,rruxxx,,,,
20,9,0,1,0,1,1,0,0,0,0,1,0,0,4.01E+07,5,0,0,0,1,0,1,r,r,u,x,r,x,rruxrx,,,,
20,10,0,0,0,0,0,0,0,0,0,0,0,0,7.58E+06,3,1,1,1,1,1,1,x,x,x,x,x,x,xxxxxx,,,,
20,11,0,0,0,0,0,0,0,0,0,0,0,0,1.02E+07,2,1,1,1,1,1,1,x,x,x,x,x,x,xxxxxx,,,,
20,12,0,0,0,0,0,0,0,0,0,0,0,0,1.04E+07,1,1,1,1,1,1,1,x,x,x,x,x,x,xxxxxx,,,,